序号,股票代码,股票简称,前收盘价,成交价格,成交数量,成交金额,买方营业部,卖方营业部,专场
 1, 000627, 天茂集团, 5.88 , 6 , 40 , 240 , 东吴证券股份有限公司上海浦东新区杨高南路证券营业部 , 华泰证券股份有限公司上海黄河路证券营业部 , 否 
 2, 000723, 美锦能源, 7.07 , 7.07 ," 1,800 "," 12,726 ", 光大证券股份有限公司北京小营路证券营业部 , 兴业证券股份有限公司山西分公司 , 否 
 3, 000732, 泰禾集团, 5.62 , 5.8 , 420 ," 2,436 ", 财通证券股份有限公司慈溪开发大道证券营业部 , 东吴证券股份有限公司苏州西北街证券营业部 , 否 
 4, 000732, 泰禾集团, 5.62 , 5.8 , 217.86 ," 1,263.59 ", 长城证券股份有限公司广州天河北路证券营业部 , 东吴证券股份有限公司苏州西北街证券营业部 , 否 
 5, 000858, 五粮液, 115.5 , 133.6 , 21.88 ," 2,923.17 ", 恒泰证券股份有限公司上海博山路证券营业部 , 申万宏源证券有限公司北京安定路证券营业部 , 否 
 6, 000858, 五粮液, 115.5 , 133.6 , 3.18 , 424.85 , 恒泰证券股份有限公司上海博山路证券营业部 , 华泰证券股份有限公司成都蜀金路证券营业部 , 否 
 7, 000955, 欣龙控股, 11.77 , 11.42 , 50 , 571 , 兴业证券股份有限公司上海民生路证券营业部 , 机构专用 , 否 
 8, 002065, 东华软件, 14.15 , 16.3 , 70 ," 1,141 ", 恒泰证券股份有限公司上海博山路证券营业部 , 申万宏源证券有限公司北京安定路证券营业部 , 否 
 9, 002074, 国轩高科, 17.96 , 17.96 , 25 , 449 , 机构专用 , 中信证券股份有限公司上海分公司 , 否 
 10, 002075, 沙钢股份, 10.68 , 10.68 , 19.72 , 210.61 , 中信建投证券股份有限公司上海控江路证券营业部 , 机构专用 , 否 
 11, 002097, 山河智能, 6.82 , 6.23 , 100 , 623 , 机构专用 , 机构专用 , 否 
 12, 002132, 恒星科技, 2.91 , 2.77 , 488 ," 1,351.76 ", 国泰君安证券股份有限公司郑州黄河路证券营业部 , 华泰证券股份有限公司盐城阜宁城河路证券营业部 , 否 
 13, 002132, 恒星科技, 2.91 , 2.77 , 192 , 531.84 , 国泰君安证券股份有限公司郑州黄河路证券营业部 , 国泰君安证券股份有限公司郑州金水东路证券营业部 , 否 
 14, 002373, 千方科技, 23.93 , 23.93 , 31.6 , 756.19 , 申港证券股份有限公司上海浦东新区世纪大道证券营业部 , 天风证券股份有限公司上海兰花路证券营业部 , 否 
 15, 002411, 延安必康, 11.15 , 10.82 , 123.5 ," 1,336.27 ", 兴业证券股份有限公司上海民生路证券营业部 , 财通证券股份有限公司杭州第三分公司 , 否 
 16, 002424, 贵州百灵, 8.7 , 7.73 , 271.8 ," 2,100.99 ", 机构专用 , 申万宏源西部证券有限公司厦门厦禾路第二证券营业部 , 否 
 17, 002570, 贝因美, 5.56 , 5.56 , 148.39 , 825.05 , 西藏东方财富证券股份有限公司上海唐安路证券营业部 , 平安证券股份有限公司深圳金田路证券营业部 , 否 
 18, 002570, 贝因美, 5.56 , 5.56 , 356.86 ," 1,984.14 ", 东吴证券股份有限公司苏州滨河路证券营业部 , 平安证券股份有限公司深圳金田路证券营业部 , 否 
 19, 002624, 完美世界, 42.34 , 38.52 , 100 ," 3,852 ", 机构专用 , 国泰君安证券股份有限公司北京知春路证券营业部 , 否 
 20, 002624, 完美世界, 42.34 , 38.52 , 50 ," 1,926 ", 机构专用 , 国泰君安证券股份有限公司北京知春路证券营业部 , 否 
 21, 002624, 完美世界, 42.34 , 38.52 , 200 ," 7,704 ", 机构专用 , 国泰君安证券股份有限公司北京知春路证券营业部 , 否 
 22, 002647, 仁东控股, 23.6 , 21.78 , 45 , 980.1 , 申万宏源西部证券有限公司北京金融大街证券营业部 , 中信证券股份有限公司北京国贸证券营业部 , 否 
 23, 002670, 国盛金控, 10.03 , 9.74 , 788 ," 7,675.12 ", 东方证券股份有限公司上海黄浦区中华路证券营业部 , 华泰证券股份有限公司北京雍和宫证券营业部 , 否 
 24, 002670, 国盛金控, 10.03 , 9.74 , 759 ," 7,392.66 ", 东方证券股份有限公司上海黄浦区中华路证券营业部 , 华泰证券股份有限公司北京雍和宫证券营业部 , 否 
 25, 002714, 牧原股份, 114 , 112 , 448 ," 50,176 ", 申万宏源证券有限公司河南分公司 , 中国中金财富证券有限公司郑州商务内环路证券营业部 , 否 
 26, 002820, 桂发祥, 10.35 , 9.5 , 205.41 ," 1,951.4 ", 国泰君安证券股份有限公司上海江苏路证券营业部 , 中国国际金融股份有限公司上海浦东新区世纪大道证券营业部 , 否 
 27, 300070, 碧水源, 10.21 , 9.61 , 610 ," 5,862.1 ", 机构专用 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 28, 300070, 碧水源, 10.21 , 9.61 , 113 ," 1,085.93 ", 机构专用 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 29, 300070, 碧水源, 10.21 , 9.61 , 105 ," 1,009.05 ", 机构专用 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 30, 300070, 碧水源, 10.21 , 9.61 , 84.6 , 813.01 , 机构专用 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 31, 300070, 碧水源, 10.21 , 9.61 , 75.5 , 725.56 , 机构专用 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 32, 300070, 碧水源, 10.21 , 9.61 , 29.7 , 285.42 , 中国国际金融股份有限公司上海分公司 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 33, 300070, 碧水源, 10.21 , 9.61 , 440 ," 4,228.4 ", 机构专用 , 平安证券股份有限公司厦门国际金融中心证券营业部 , 否 
 34, 300070, 碧水源, 10.21 , 10.21 , 42 , 428.82 , 中信建投证券股份有限公司杭州庆春路证券营业部 , 机构专用 , 否 
 35, 300202, 聚龙股份, 8.81 , 8.9 , 87.48 , 778.57 , 海通证券股份有限公司威海高山街证券营业部 , 海通证券股份有限公司厦门展鸿路证券营业部 , 否 
 36, 300220, 金运激光, 45.4 , 42.5 , 16.4 , 697 , 光大证券股份有限公司苏州邓尉路证券营业部 , 华泰证券股份有限公司常州和平北路证券营业部 , 否 
 37, 300244, 迪安诊断, 23.43 , 23.05 , 113 ," 2,604.65 ", 招商证券股份有限公司杭州富春路证券营业部 , 机构专用 , 否 
 38, 300300, 汉鼎宇佑, 7.82 , 8 , 36 , 288 , 东兴证券股份有限公司佛山汾江南路证券营业部 , 国信证券股份有限公司绍兴解放大道证券营业部 , 否 
 39, 300366, 创意信息, 12.28 , 12.28 , 600 ," 7,368 ", 中信建投证券股份有限公司成都马家花园证券营业部 , 中信建投证券股份有限公司厦门杏东路证券营业部 , 否 
 40, 300379, 东方通, 48.99 , 50.1 , 10 , 501 , 东吴证券股份有限公司上海浦东新区杨高南路证券营业部 , 华泰证券股份有限公司上海黄河路证券营业部 , 否 
 41, 300454, 深信服, 165.39 , 166.43 , 16.64 ," 2,769.4 ", 机构专用 , 中信建投证券股份有限公司深圳香梅路证券营业部 , 否 
 42, 300454, 深信服, 165.39 , 166.43 , 2.12 , 352.83 , 机构专用 , 中信建投证券股份有限公司深圳香梅路证券营业部 , 否 
 43, 300454, 深信服, 165.39 , 166.43 , 24.2 ," 4,027.61 ", 机构专用 , 中信建投证券股份有限公司深圳香梅路证券营业部 , 否 
 44, 300454, 深信服, 165.39 , 166.43 , 52.94 ," 8,810.8 ", 机构专用 , 中信建投证券股份有限公司深圳香梅路证券营业部 , 否 
 45, 300587, 天铁股份, 16.52 , 14.92 , 40 , 596.8 , 财通证券股份有限公司金华浦江东山路证券营业部 , 国泰君安证券股份有限公司天台环城东路证券营业部 , 否 
 46, 300636, 同和药业, 34.68 , 31.73 , 11.39 , 361.25 , 方正证券股份有限公司台州解放路证券营业部 , 国金证券股份有限公司南昌赣江中大道证券营业部 , 否 
 47, 300636, 同和药业, 34.68 , 31.73 , 11.39 , 361.25 , 中信证券股份有限公司杭州滨盛路证券营业部 , 国金证券股份有限公司南昌赣江中大道证券营业部 , 否 
 48, 600297, 广汇汽车, 4.2 , 4.14 ," 7,729.47 "," 32,000 ", 国信证券股份有限公司深圳泰然九路证券营业部 , 中银国际证券股份有限公司深圳太子路证券营业部 , 否 
 49, 600337, 美克家居, 4.13 , 3.8 ," 2,247.47 "," 8,540.39 ", 申万宏源证券有限公司上海静安区延长中路证券营业部 , 机构专用 , 否 
 50, 600337, 美克家居, 4.13 , 3.8 ," 1,294.35 "," 4,918.53 ", 申万宏源证券有限公司上海静安区延长中路证券营业部 , 机构专用 , 否 
 51, 600519, 贵州茅台," 1,067 "," 1,100 ", 2.36 ," 2,596 ", 中国银河证券股份有限公司深圳水贝证券营业部 , 华泰证券股份有限公司深圳益田路荣超商务中心证券营业部 , 否 
 52, 600519, 贵州茅台," 1,067 "," 1,100 ", 2.22 ," 2,442 ", 国信证券股份有限公司深圳红岭中路证券营业部 , 华泰证券股份有限公司深圳益田路荣超商务中心证券营业部 , 否 
 53, 600519, 贵州茅台," 1,067 "," 1,100 ", 2.36 ," 2,596 ", 招商证券股份有限公司深圳益田路免税商务大厦证券营业部 , 华泰证券股份有限公司深圳益田路荣超商务中心证券营业部 , 否 
 54, 600519, 贵州茅台," 1,067 "," 1,217.6 ", 1.75 ," 2,130.8 ", 恒泰证券股份有限公司上海博山路证券营业部 , 华泰证券股份有限公司成都蜀金路证券营业部 , 否 
 55, 600887, 伊利股份, 27.25 , 27.25 , 210 ," 5,722.5 ", 瑞银证券有限责任公司上海花园石桥路证券营业部 , 瑞银证券有限责任公司上海花园石桥路证券营业部 , 否 
 56, 600908, 无锡银行, 5.12 , 4.82 , 300 ," 1,446 ", 国联证券股份有限公司无锡洛社镇人民南路证券营业部 , 国联证券股份有限公司无锡梁溪路证券营业部 , 否 
 57, 601012, 隆基股份, 25.2 , 25.2 , 150 ," 3,780 ", 瑞银证券有限责任公司上海花园石桥路证券营业部 , 瑞银证券有限责任公司上海花园石桥路证券营业部 , 否 
 58, 601318, 中国平安, 72 , 72 , 150 ," 10,800 ", 瑞银证券有限责任公司上海花园石桥路证券营业部 , 瑞银证券有限责任公司上海花园石桥路证券营业部 , 否 
